Matrix Size,CPU Time (μs),pPIM Time (μs),Optimized pPIM (μs),Speedup
3,0.48,0.24,0.15,3.2
8,0.9,3.63,2.21,0.4072398190045249
32,49.38,232.29,139.7,0.3534717251252685
64,422.1,1846.52,1109.23,0.38053424447589773
100,1402.42,7028.04,4220.03,0.3323246517204854
256,43241.28,117624.06,70595.41,0.6125225421879411
512,635753.9640532635,938702.9829911413,563128.4673166903,1.1289679015565206
1024,5086031.712426108,7509623.86392913,4505027.738533522,1.1289679015565206
2048,40688253.69940887,60076990.91143304,36040221.908268176,1.1289679015565206
4096,325506029.59527093,480615927.2914643,288321775.2661454,1.1289679015565206
